Data;Aktywnoœæ;ID;Wejœcia;Podstawa;Pozycja;Km CAN;Wyjœcia;RPM CAN;Prêdkoœæ CAN;Poziom Paliwa;Licznika paliwa CAN;Kierowca 1;Kierowca 2;Zamek naczepy;Debug;ANA1;ANA2;Identycikacja1;Identycikacja2;Termometr 1;Termometr 2;Termometr 1,2 x10;Termometr 3;Termometr 3,4 x10;Tech Stat;Licznik We 11;VIN Naczepy
13-06-2023 01:45:40;C;431173 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:47:10;C;431174 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:48:40;C;431175 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:50:10;C;431176 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:51:40;C;431177 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:53:10;C;431178 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:54:40;C;431179 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:56:10;C;431180 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:57:40;C;431181 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:59:10;C;431182 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:00:40;C;431183 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:02:10;C;431184 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:03:40;C;431185 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:05:10;C;431186 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:06:40;C;431187 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:08:10;C;431188 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
